Rusty Blackbird	The rusty blackbird (Euphagus carolinus) is a medium-sized blackbird, closely related to grackles ("rusty grackle" is an older name for the species). It is a bird that prefers wet forested areas, breeding in the boreal forest and muskeg across northern Canada, and migrating southeast to the United States during winter. Formerly abundant, the rusty blackbird has undergone one of the most rapid declines of any abundant bird species in North America in recent years, for reasons that are not well understood.	Rusty blackbird/Brewer's blackbird/Red-winged blackbird/Icterid/Euphagus/Wildlife of Missouri/Yellow-headed blackbird/List of birds of Ohio/Starlicide/List of birds of Alberta				
Yellow headed Blackbird	The yellow-headed blackbird (Xanthocephalus xanthocephalus) is a medium-sized blackbird, and the only member of the genus Xanthocephalus.  	Yellow-headed blackbird/Yellow-hooded blackbird/Icterid/Fauna of California/Red-winged blackbird/Yellow-shouldered blackbird/Wildlife of Missouri/List of birds of Colorado/Common blackbird/List of birds of Iowa				
Bobolink	The bobolink (Dolichonyx oryzivorus) is a small New World blackbird and the only member of the genus Dolichonyx. An old name for this species is the "Rice Bird", from its tendency to feed on cultivated grains. Adults are 16–18 cm (6.3–7.1 in) long with short finch-like bills and weigh about 1 oz (28 g). Adult males are mostly black with creamy napes and white scapulars, lower backs, and rumps. Adult females are mostly light brown with black streaks on the back and flanks, and dark stripes on the head; their wings and tails are darker. The bobolink breeds in the summer in North America and southern Canada, often wintering in South America. Considered a pest by some farmers, the numbers of these birds are declining and are a species at risk throughout Canada.	Bobolink/USS Bobolink/USS Bobolink (AM-20)/Boulton Paul Bobolink/USS Bobolink (AMS-2)/Icterid/Ricebird/Boulton & Paul Ltd/List of onomatopoeias/List of The Pink Panther cartoons				
Indigo Bunting	The indigo bunting (Passerina cyanea) is a small seed-eating bird in the cardinal family, Cardinalidae. It is migratory, ranging from southern Canada to northern Florida during the breeding season, and from southern Florida to northern South America during the winter. It often migrates by night, using the stars to navigate. Its habitat is farmland, brush areas, and open woodland. The indigo bunting is closely related to the lazuli bunting and interbreeds with the species where their ranges overlap. The indigo bunting is a small bird, with a length of 11.5–13 cm (4.5–5.1 in). It displays sexual dimorphism in its coloration; the male is vibrant blue in the summer, with brightly colored  plumage during the breeding season to attract a mate. It is brown during the winter months, while the female is brown year-round. Nest-building and incubation are done solely by the female. The diet of the indigo bunting consists primarily of insects during the summer months and seeds during the winter months.	Indigo bunting/Indigo/Lazuli bunting/Painted bunting/Cardinal (bird)/Dickcissel/Hockett's design features/List of birds of Georgia (U.S. state)/Passerina/List of birds of Washington (state)				
Lazuli Bunting	The lazuli bunting (Passerina amoena) is a North American songbird named for the gemstone lapis lazuli. The male is easily recognized by its bright blue head and back (lighter than the closely related indigo bunting), its conspicuous white wingbars, and its light rusty breast and white belly.  The color pattern may suggest the eastern and western bluebirds, but the smaller size (13–15 cm or 5–5.9 inches long), wingbars, and short and conical bunting bill quickly distinguish it.  The female is brown, grayer above and warmer underneath, told from the female indigo bunting by two thin and pale wingbars and other plumage details. The song is a high, rapid, strident warble, similar to that of the indigo bunting but longer and with less repetition.  Lazuli buntings breed mostly west of the 100th meridian from southern Canada to northern Texas, central New Mexico and Arizona, and southern California.  On the Pacific coast their breeding range extends south to extreme northwestern Baja California. They migrate to southeastern Arizona and Mexico. Their habitat is brushy areas and sometimes weedy pastures, generally well-watered, and sometimes in towns. These birds eat mostly seeds and insects. They may feed conspicuously on the ground or in bushes, but singing males are often very elusive in treetops. This bird makes a loose cup nest of grasses and rootlets placed in a bush. It lays three or four pale blue eggs. In the eastern and southern part of its range, it often hybridizes with the indigo bunting. Measurements:  Length: 5.1-5.9 in (13-15 cm) Weight: 0.5-0.6 oz (13-18 g) Wingspan: 8.7 in (22 cm)	Lazuli bunting/Indigo bunting/Painted bunting/Cardinal (bird)/List of birds of California/List of birds of Colorado/Blue grosbeak/List of birds of Washington (state)/List of birds of Ontario/List of birds of Florida				
Painted Bunting	The painted bunting (Passerina ciris) is a species of bird in the cardinal family, Cardinalidae, that is native to North America.    The bright plumage of the male only comes in the second year of life; in the first year they can only be distinguished from the female by close inspection.	Painted bunting/Indigo bunting/Cardinal (bird)/Plumage/Hue/Passerina/List of birds of Florida/Nonpareil/Warbling vireo/Cedar Hill, Texas				
Cardinal	Cardinals, in the family Cardinalidae, are passerine birds found in North and South America. They are also known as cardinal-grosbeaks and cardinal-buntings.   The South American cardinals in the genus Paroaria are placed in the tanager family Thraupidae. On the other hand, DNA analysis of the genera Piranga (which includes the scarlet tanager, summer tanager, and western tanager), Chlorothraupis, and Habia showed their closer relationship to the cardinal family. They have been reassigned to that family by the American Ornithological Society.	Cardinal/The Cardinal/Cardinality/Cardinal (Catholic Church)/Cardinal numeral/Cardinal Richelieu/Cardinal virtues/Cardinal (bird)/Cardinal number/Cardinal direction				
Spotted Catbird	The spotted catbird (Ailuroedus maculosus) is a species of bowerbird (Ptilonorhynchidae) which can be found in north Queensland, the eastern Moluccas and New Guinea. Although it is a member of the bowerbird family it does not build a bower. Widespread and common throughout its large range, the spotted catbird is evaluated as Least Concern on IUCN Red List of Threatened Species.	Spotted catbird/Catbird/Green catbird/Bowerbird/Satin bowerbird/Black-capped catbird/Northern catbird/Ailuroedus/Huon catbird/Black-eared catbird				
Gray Catbird	The gray catbird (Dumetella carolinensis), also spelled grey catbird, is a medium-sized North American and Central American perching bird of the mimid family. It is the only member of the "catbird" genus Dumetella. Like the black catbird (Melanoptila glabrirostris), it is among the basal lineages of the Mimidae, probably a closer relative of the Caribbean thrasher and trembler assemblage than of the mockingbirds and Toxostoma thrashers. In some areas it is known as the slate-colored mockingbird.	Gray catbird/Catbird/Catbird seat/Phytolacca americana/Black catbird/Mimid/Nyssa sylvatica/Ilex vomitoria/Brown thrasher/Free Democratic Movement				
Yellow breasted Chat	The yellow-breasted chat (Icteria virens) is a large songbird found in North America, and is the only member of the family Icteriidae. It was once a member of the New World warbler family, but in 2017 the American Ornithological Society moved it to its own family. Its placement is not definitely resolved.	Yellow-breasted chat/List of birds of Ontario/List of birds of New York (state)/List of birds of Alberta/List of birds of Pennsylvania/List of birds of Minnesota/List of birds of Manitoba/List of birds of North Carolina/List of birds of Georgia (U.S. state)/List of birds of California				
Eastern Towhee	The eastern towhee (Pipilo erythrophthalmus) is a large New World sparrow. The taxonomy of the towhees has been under debate in recent decades, and formerly this bird and the spotted towhee were considered a single species, the rufous-sided towhee. Their breeding habitat is brushy areas across eastern North America. They nest either low in bushes or on the ground under shrubs. Northern birds migrate to the southern United States. There has been one record of this species as a vagrant to western Europe: a single bird in Great Britain in 1966. The song is a short drink your teeeeea lasting around one second, starting with a sharp call ("drink!") and ending with a short trill "teeeeea". The name "towhee" is onomatopoeic description of one of the towhee's most common calls, a short two-part call rising in pitch and sometimes also called a "chewink" call.	Eastern towhee/Spotted towhee/Towhee/Rufous-sided towhee/Pipilo/List of birds of Ontario/List of birds of New York (state)/List of birds of North Carolina/American sparrow/List of birds of Georgia (U.S. state)				
Chuck will Widow	The chuck-will's-widow (Antrostomus carolinensis) is a nocturnal bird of the nightjar family Caprimulgidae. It is found in the southeastern United States near swamps, rocky uplands, and pine woods. It migrates to the West Indies, Central America, and northwestern South America.	Chuck-will's-widow/Chuck Hughes/Chuck Grassley/Chuck Jones/Chuck Versus the Seduction/Sati (practice)/Mosquito hawk/Stephen J. Bartowski/Chuck Cadman/Terry Bradshaw				
Brandt Cormorant	Brandt's cormorant (Phalacrocorax penicillatus) is a strictly marine bird of the cormorant family of seabirds that inhabits the Pacific coast of North America. It ranges, in the summer, from Alaska to the Gulf of California, but the population north of Vancouver Island migrates south during the winter. Its specific name, penicillatus is Latin for a painter's brush (pencil of hairs), in reference to white plumes on its neck and back during the early breeding season. The common name honors the German naturalist Johann Friedrich von Brandt of the Academy of Sciences at St. Petersburg, who described the species from specimens collected on expeditions to the Pacific during the early 19th century. Brandt's cormorants feed either singly or in flocks, and are adaptable in prey choice and undersea habitat. It feeds on small fish from the surface to sea floor, obtaining them, like all cormorants, by pursuit diving using its feet for propulsion. Prey is often what is most common: in central California, rockfish from the genus Sebastes is the most commonly taken, but off British Columbia, it is Pacific herring. Brandt's cormorants have been observed foraging at depths of over 36.5 m (120 ft) . During the breeding season, adults have a blue throat patch. This species nests on the ground or on rocky outcroppings. Año Nuevo Island is an important seabird breeding colony in the Monterey Bay National Marine Sanctuary, hosting Brandt’s cormorants among other species of seabirds.	Brandt's cormorant/Cormorant/Great cormorant/Double-crested cormorant/Johann Friedrich von Brandt/Little black cormorant/Flightless cormorant/Reed cormorant/Japanese cormorant/Neotropic cormorant				
Red faced Cormorant	The red-faced cormorant (Phalacrocorax urile), red-faced shag or violet shag, is a bird species of the family Phalacrocoracidae. Its range spans from the eastern tip of Hokkaidō in Japan, via the Kuril Islands, the southern tip of the Kamchatka Peninsula and the Aleutian Arc to the Alaska Peninsula and Gulf of Alaska. The red-faced cormorant is closely related to the pelagic cormorant P. pelagicus, which has a similar range, and like the pelagic cormorant is placed by some authors (e.g. Johnsgaard) in a genus Leucocarbo.  Where it nests alongside the pelagic cormorant, the red-faced cormorant generally breeds the more successfully of the two species, and it is currently increasing in numbers, at least in the easterly parts of its range.  It is however listed as being of conservation concern, partly because relatively little is so far known about it. The adult bird has glossy plumage that is a deep greenish blue in color, becoming purplish or bronze on the back and sides.  In breeding condition it has a double crest, and white plumes on the flanks, neck and rump, and the bare facial skin of the lores and around the eyes is a bright orange or red, giving the bird its name; although the coloration is less vivid outside the breeding season, the red facial skin is enough to distinguish it from the otherwise rather similar pelagic cormorant.  Its legs and feet are brownish black.  Its wings range from 25 to 29 cm in extent, with females having on average about 5 cm shorter wings.  Adults weigh between 1.5 and 2.3 kg, with females averaging 350 g less than males. Analysis of stomach contents suggests that the red-faced cormorant is mainly a bottom feeder, taking cottids especially.  Adults have few predators, though river otters may attempt to take them, as will corvids of various species, bald eagles and golden eagles.  Gulls and corvids are common predators on eggs and chicks.	Red-faced cormorant/Black-faced cormorant/Pelagic cormorant/Australian pied cormorant/Double-crested cormorant/Suliformes/Great cormorant/Red-legged cormorant/Reed cormorant/Pygmy cormorant				
Pelagic Cormorant	The pelagic cormorant (Phalacrocorax pelagicus), also known as Baird's cormorant, is a small member of the cormorant family Phalacrocoracidae. Analogous to other smallish cormorants, it is also called the pelagic shag occasionally. This seabird lives along the coasts of the northern Pacific; during winter it can also be found in the open ocean. Pelagic cormorants have relatively short wings due to their need for economical movement underwater, and consequently have the highest flight costs of any bird.Many authors favor splitting up the "wastebin genus" Phalacrocorax. In this case, the pelagic cormorant would probably be placed in Compsohalieus.  	Pelagic cormorant/Great cormorant/Cormorant/Double-crested cormorant/Neotropic cormorant/Red-faced cormorant/Reed cormorant/Flightless cormorant/Australian pied cormorant/Little cormorant				
Bronzed Cowbird	The bronzed cowbird (once known as the red-eyed cowbird), (Molothrus aeneus), is a small icterid. It breeds from the southern U.S. states of California, Arizona, New Mexico, Texas, and Louisiana south through Central America to Panama. They tend to be found in farmland, brush, and feedlots. Outside the breeding season, they are found in very open habitats, and roost in thick woods. They forage in open areas, often nearby cattle in pastures. Their diet mostly consists of seeds and insects, along with snails during breeding season for a calcium source.  There are three subspecies and an isolated population on the Caribbean coast of Colombia that is sometimes treated as a separate species, the bronze-brown cowbird (M. armenti): M. a. loyei – Parkes & Blake, 1965: found in the southwestern United States and northwestern Mexico M. a. assimilis – (Nelson, 1900): found in southwestern Mexico M. a. aeneus – (Wagler, 1829): nominate, found in southern Texas (south central USA) and from eastern Mexico to central PanamaThe male bronzed cowbird is 20 cm (7.9 in) long and weighs 68 g (2.4 oz), with green-bronze glossed black plumage. Their eyes are red in breeding season and brown otherwise. The female is 18.5 cm (7.3 in) long and weighs 56 g (2.0 oz). She is a dull black with a brown underbelly, and has brown eyes. Young birds have coloring similar to the females, with the exception of grey feather fringes.Like all cowbirds, this bird is an obligate brood parasite; it lays its eggs in the nests of other birds. The young cowbird is fed by the host parents at the expense of their own young. Hosts include Prevost's ground-sparrow and White-naped brush finch. They develop rapidly, leaving the nest after 10–12 days.	Bronzed cowbird/Cowbird/Icterid/Clay-colored thrush/Altamira oriole/List of brood parasitic passerines/Black catbird/Hooded oriole/Common blackbird/List of birds of Florida				
Shiny Cowbird	The shiny cowbird (Molothrus bonariensis) is a passerine bird in the New World family Icteridae. It breeds in most of South America except for dense forests and areas of high altitude such as mountains. Since 1900 the shiny cowbirds' range has shifted northward, and it was recorded in the Caribbean islands as well as the United States, where it is found breeding in southern Florida. It is a bird associated with open habitats, including disturbed land from agriculture and deforestation.Adults are sexually dimorphic. Males are all black with a purple-blue iridescence. The female is smaller, with dull brown plumage that is sometimes paler on the underparts. Females of the species can be distinguished from the female brown-headed cowbird by their longer, finer bills and flatter heads. The shiny cowbird's diet consists mainly of insects and seeds, and they have been recorded foraging for grains in cattle troughs.Like most other cowbirds, it is an obligate brood parasite, laying its eggs in the nests of many other bird species such as the rufous-collared sparrow. Different host species show different responses to their nests being parasitised, with behaviours ranging from accepting and caring for the cowbird eggs, to rejecting the eggs from the nest. As the shiny cowbird is an effective generalist brood parasite, it can be considered the South American counterpart to the brown-headed cowbird.	Shiny cowbird/Cowbird/Brood parasite/Screaming cowbird/Icterid/List of brood parasitic passerines/Rufous-collared sparrow/American yellow warbler/List of genetic hybrids/List of introduced species				
Brown Creeper	For the similarly named Australian bird see Brown treecreeper. For the similarly named New Zealand bird see Brown creeper (New Zealand).  The brown creeper (Certhia americana), also known as the American treecreeper, is a small songbird, the only North American member of the treecreeper family Certhiidae.	Brown creeper/Creeper/Treecreeper/Jeepers Creepers 2/Pipipi/Eurasian treecreeper/Brown-throated treecreeper/Certhia/Yosemite National Park/The Night Creeper				
American Crow	The American crow (Corvus brachyrhynchos) is a large passerine bird species of the family Corvidae. It is a common bird found throughout much of North America. American crows are the New World counterpart to the carrion crow and the hooded crow. Although the American crow and the hooded crow are very similar in size, structure and behavior, their calls are different. The American crow, nevertheless, occupies the same role that the hooded crow does in Eurasia. From beak to tail, an American crow measures 40–50 cm (16–20 in), almost half of which is tail. Mass varies from about 300 to 600 g (11 to 21 oz). Males tend to be larger than females. The most usual call is CaaW!-CaaW!-CaaW!. The American crow is all black, with iridescent feathers. It looks much like other all-black corvids. They can be distinguished from the common raven (C. corax) because American crows are smaller, from the fish crow (C. ossifragus) because American crows do not hunch and fluff their throat feathers when they call and from the carrion crow (C. corone) by the enunciation of their calls. American crows are common, widespread, and susceptible to the West Nile virus, making them useful as a bioindicator to track the virus's spread. Direct transmission of the virus from crows to humans is impossible.	American crow/Crow/Jim Crow laws/Corvus/Corvidae/The Crow/Jim Crow (character)/Carrion crow/Hooded crow/American Crow Creek				
Fish Crow	The fish crow (Corvus ossifragus) is a species of crow associated with wetland habitats in the eastern and southeastern United States.	Fish crow/Crow/American crow/Corvidae/Hawaiian crow/Corvus/Northwestern crow/House crow/Pied crow/Carrion crow				
Black billed Cuckoo	The black-billed cuckoo (Coccyzus erythropthalmus) is a New World species in the Cuculidae (cuckoo) family. The scientific name is from Ancient Greek. The genus name kokkuzo, means to call like a common cuckoo, and erythropthalmus is from eruthros, "red" and ophthalmos, "eye".It is very similar and overlaps in range with the closely related yellow-billed cuckoo. A distinguishing characteristic of family Cuculidae is laying eggs in the nests of other birds. Although many cuckoos are obligate brood parasites, C. erythropthalmus often incubate their own chicks.	Black-billed cuckoo/Yellow-billed cuckoo/Cuckoo/Channel-billed cuckoo/List of birds by common name/Coccyzus/Bar-tailed cuckoo-dove/List of birds of New York (state)/Common cuckoo/List of birds of Minnesota				
Mangrove Cuckoo	The mangrove cuckoo (Coccyzus minor) is a species of cuckoo that is native to the Neotropics.	Mangrove cuckoo/Cuckoo/List of birds by common name/List of birds of Florida/Striped cuckoo/List of birds of Barbados/Cuban mangroves/Coccyzus/List of birds of Louisiana/Pallid cuckoo				
Yellow billed Cuckoo	The yellow-billed cuckoo (Coccyzus americanus) is a cuckoo. Common folk-names for this bird in the southern United States are rain crow and storm crow. These likely refer to the bird's habit of calling on hot days, often presaging rain or thunderstorms. The genus name is from Ancient Greek kokkuzo, which means to call like a common cuckoo, and americana means "of America".	Yellow-billed cuckoo/Black-billed cuckoo/Cuckoo/Stormcrow/List of birds by common name/Asimina triloba/List of birds of Ontario/Yellow-billed babbler/Common cuckoo/Pied-billed grebe				
Gray crowned Rosy Finch	The gray-crowned rosy finch, or gray-crowned rosy-finch, (Leucosticte tephrocotis) is a species of passerine bird in the family Fringillidae native to Alaska, western Canada, and the north-western United States.  Due to its remote and rocky alpine habitat it is rarely seen. There are currently six recognized subspecies. It is one of four species of rosy finches.	Gray-crowned rosy finch/Black rosy finch/Mount Whitney/List of birds by common name/Golden-crowned sparrow/List of birds of Pennsylvania/List of birds of Michigan/List of birds of Washington (state)/List of birds of New York (state)/Mount Adams (Washington)				
Purple Finch	The purple finch (Haemorhous purpureus) is a bird in the finch family, Fringillidae.	Purple finch/House finch/Purple/Cassin's finch/List of U.S. state birds/Gouldian finch/American rosefinch/List of least concern birds/Xanthochromism/New Hampshire				
Northern Flicker	The northern flicker (Colaptes auratus) or common flicker is a medium-sized bird of the woodpecker family. It is native to most of North America, parts of Central America, Cuba, and the Cayman Islands, and is one of the few woodpecker species that migrate. Over 100 common names for the northern flicker are known, including yellowhammer (not to be confused with the Eurasian yellowhammer), clape, gaffer woodpecker, harry-wicket, heigh-ho, wake-up, walk-up, wick-up, yarrup, and gawker bird. Many of these names derive from attempts to imitate some of its calls.	Northern flicker/Gilded flicker/Northern mockingbird/Colaptes/Northern goshawk/Yellowhammer (disambiguation)/Woodpecker/Niall Horan/Sky Meadows State Park/California				
Acadian Flycatcher	The Acadian flycatcher (Empidonax virescens) is a small insect-eating bird of the tyrant flycatcher family.	Acadian flycatcher/Acadian (disambiguation)/List of birds of Ontario/Hawking (birds)/List of birds by common name/List of birds of Ohio/Charles C. Deam Wilderness Area/List of birds of Michigan/List of birds of Pennsylvania/List of birds of Georgia (U.S. state)				
Great Crested Flycatcher	The great crested flycatcher (Myiarchus crinitus) is a large insect-eating bird of the tyrant flycatcher family. It is the most widespread member of the genus Myiarchus in North America, and is found over most of the eastern and mid-western portions of the continent. It dwells mostly in the treetops and rarely is found on the ground.	Great crested flycatcher/List of birds by common name/List of least concern birds/List of birds of Ontario/List of birds of Kentucky/Wildlife of Missouri/List of birds of New York (state)/List of birds of Michigan/List of birds of Alberta/List of birds of Minnesota				
Least Flycatcher	The least flycatcher (Empidonax minimus), (also called chebec, or chebecker, after the sound it makes), is a small insect-eating bird. It is the smallest Empidonax flycatcher in eastern North America.	Least flycatcher/List of least concern birds/Yellow-bellied flycatcher/Indian paradise flycatcher/List of birds of Ontario/List of birds by common name/Vermilion flycatcher/African paradise flycatcher/Wildlife of Missouri/List of birds of Florida				
Olive sided Flycatcher	The olive-sided flycatcher (Contopus cooperi) is a passerine bird. It is a medium-sized tyrant flycatcher.	Olive-sided flycatcher/List of birds by common name/Fauna of Illinois/Government Island (Oregon)/Greater pewee/List of birds of Ontario/List of birds of South America/List of birds of Alberta/List of birds of Georgia (U.S. state)/List of birds of Michigan				
Scissor tailed Flycatcher	The scissor-tailed flycatcher (Tyrannus forficatus), also known as the Texas bird-of-paradise and swallow-tailed flycatcher, is a long-tailed bird of the genus Tyrannus, whose members are collectively referred to as kingbirds. The kingbirds are a group of large insectivorous (insect-eating) birds in the tyrant flycatcher (Tyrannidae) family. The scissor-tailed flycatcher is found in North and Central America.	Scissor-tailed flycatcher/Tyrant flycatcher/Black-billed magpie/Fork-tailed flycatcher/Scissors/Skydance Bridge/List of birds by common name/Kingbird/List of birds of Oklahoma/List of birds of Alberta				
Vermilion Flycatcher	The vermilion flycatcher (Pyrocephalus obscurus) is a small passerine bird in the tyrant flycatcher family found throughout South America and southern North America. It is a striking exception among the generally drab Tyrannidae due to its vermilion-red coloration. The males have bright red crowns, chests, and underparts, with brownish wings and tails. Females lack the vivid red coloration and can be hard to identify—they may be confused for the Say's phoebe. The vermilion flycatcher's song is a pit pit pit pidddrrrreeedrr, which is variable and important in establishing a territory. Riparian habitats and semi-open environments are preferred. As aerial insectivores, they catch their prey while flying. Their several months-long molt begins in summer.  Despite being socially monogamous, vermilion flycatchers will engage in extra-pair copulation. They also practice within-species brood parasitism, whereby females lay their eggs in the nest of another individual. Females build shallow open cup nests and incubate the brown-speckled whitish eggs. The male feeds the female during incubation. Two broods of two or three eggs are laid in a season lasting from March through June. Once hatched, both males and females feed the chicks, which are ready to fledge after 15 days.  The species was first described in the late 1830s as a result of the voyages of Charles Darwin. The taxonomy of the genus Pyrocephalus was revised in 2016, which led to the identification of several new species from the vermilion flycatcher's subspecies, including the now-extinct San Cristóbal flycatcher. Populations have declined because of habitat loss, though the species remains abundant. The overall population numbers in the millions, thus the International Union for the Conservation of Nature considers it a species of least concern.	Vermilion flycatcher/Scarlet flycatcher/Vermilion/Tyrant flycatcher/San Cristóbal flycatcher/Darwin's flycatcher/Vermilion (disambiguation)/Social flycatcher/The Adventure Zone/List of birds by common name				
